time,Voltage,InjSeeded,Matisse,Diode,OPO,data
1752927168.9768,-81.99993115663528,12805.820994441048,12805.821391364101,12816.461750193866,15865.460891638904,"[[676, -1, -1], [677, -1, -1], [678, -1, -1], [679, -1, -1], [680, -1, -1], [681, -1, -1], [682, -1, -1], [683, -1, -1], [684, -1, -1], [685, -1, -1], [686, 1, 11870], [686, 1, 12068], [686, -1, -1]]"
1752927169.0888,-79.99993455410004,12805.821092556056,12805.821391364101,12816.461751509609,15865.460891638904,"[[687, -1, -1], [688, -1, -1], [689, -1, -1], [690, -1, -1], [691, -1, -1], [692, -1, -1], [693, -1, -1], [694, -1, -1], [695, -1, -1], [696, -1, -1], [697, -1, -1], [698, -1, -1]]"
1752927169.1998,-77.99993795156479,12805.821211185015,12805.821397576145,12816.461751509609,15865.460891638904,"[[699, 1, 11185], [699, 1, 11389], [699, -1, -1], [700, -1, -1], [701, -1, -1], [702, -1, -1], [703, -1, -1], [704, -1, -1], [705, 1, 11379], [705, 1, 11418], [705, 1, 11611], [705, 1, 11801], [705, -1, -1], [706, -1, -1], [707, -1, -1], [708, -1, -1], [709, -1, -1]]"
1752927169.3098,-75.99994134902954,12805.821211185015,12805.821397576145,12816.461751536795,15865.460891638904,"[[710, -1, -1], [711, -1, -1], [712, -1, -1], [713, -1, -1], [714, -1, -1], [715, 1, 11589], [715, 1, 11791], [715, 1, 11948], [715, -1, -1], [716, -1, -1], [717, -1, -1], [718, -1, -1], [719, -1, -1], [720, -1, -1]]"
1752927169.4209,-73.9999447464943,12805.821134546564,12805.821392848804,12816.461751536795,15865.460891638904,"[[721, -1, -1], [722, -1, -1], [723, -1, -1], [724, -1, -1], [725, -1, -1], [726, -1, -1], [727, -1, -1], [728, 1, 10740], [728, 1, 10939], [728, 1, 11577], [728, -1, -1], [729, -1, -1], [730, -1, -1], [731, -1, -1]]"
1752927169.5318,-71.99994814395905,12805.821134546564,12805.821374045028,12816.461745589366,15865.460891638904,"[[732, -1, -1], [733, -1, -1], [734, -1, -1], [735, -1, -1], [736, -1, -1], [737, -1, -1], [738, -1, -1], [739, -1, -1], [740, -1, -1], [741, -1, -1], [742, -1, -1]]"
1752927169.6408,-69.9999515414238,12805.821020330215,12805.821374045028,12816.461745589366,15865.460891638904,"[[743, -1, -1], [744, -1, -1], [745, -1, -1], [746, -1, -1], [747, -1, -1], [748, -1, -1], [749, -1, -1], [750, -1, -1], [751, -1, -1], [752, -1, -1], [753, 1, 10977], [753, 1, 11180], [753, -1, -1]]"
1752927169.7508,-67.99995493888855,12805.821020330215,12805.82136928976,12816.461750882794,15865.460891638904,"[[754, -1, -1], [755, -1, -1], [756, -1, -1], [757, -1, -1], [758, -1, -1], [759, -1, -1], [760, -1, -1], [761, -1, -1], [762, -1, -1], [763, -1, -1], [764, -1, -1]]"
1752927169.8608,-65.9999583363533,12805.821103035107,12805.82136928976,12816.461750882794,15865.460891638904,"[[765, -1, -1], [766, -1, -1], [767, 1, 11738], [767, 1, 11938], [767, -1, -1], [768, -1, -1], [769, -1, -1], [770, -1, -1], [771, 1, 289683], [771, 1, 289870], [771, -1, -1], [772, -1, -1], [773, -1, -1], [774, -1, -1], [775, -1, -1]]"
1752927169.9729,-63.999958008527756,12805.821103035107,12805.821384927693,12816.46175000148,15865.460891638904,"[[776, -1, -1], [777, -1, -1], [778, -1, -1], [779, -1, -1], [780, -1, -1], [781, -1, -1], [782, 1, 11738], [782, 1, 11940], [782, -1, -1], [783, -1, -1], [784, -1, -1], [785, -1, -1], [786, -1, -1]]"
