time,wavenumber
1737189761.5275,12816.461875629433
1737189762.5287,12816.461885021721
1737189763.5376,12816.46187156354
1737189764.5474,12816.461881275844
1737189765.5556,12816.461877830427
1737189766.5635,12816.461877767084
1737189767.5723,12816.461875039211
1737189768.5816,12816.461880469511
1737189769.5907,12816.461877305372
1737189770.5986,12816.46187240586
1737189771.6076,12816.461877149999
1737189772.6122,12816.461880588553
1737189773.6206,12816.461875092018
1737189774.6303,12816.461883470858
1737189775.6322,12816.46187883672
1737189776.6409,12816.461879552673
1737189777.6493,12816.461882946887
1737189778.653,12816.461880997977
1737189779.6594,12816.461880237177
1737189780.6675,12816.461872989348
1737189781.6744,12816.461879581771
1737189782.6759,12816.461876414953
1737189783.6775,12816.461876098365
1737189784.6871,12816.461881153797
